characteristic,model
"{'Поверхня:': 'газова, емальована', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""електрична, об'єм 65 л"", 'Функції:': 'гриль, конвекція', 'Ширина плити:': '60 см'}",Hansa FCMW68041
"{'Поверхня:': 'газова, емальована', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""електрична, об'єм 65 л"", 'Функції:': 'газ-контроль, гриль, конвекція', 'Ширина плити:': '60 см'}",Hansa FCMW680250
"{'Поверхня:': 'електрична, склокерамічна', 'Конфорки:': 'hi-light 4 шт', 'Духовка:': ""електрична, об'єм 58 л"", 'Функції:': 'гриль, конвекція', 'Ширина плити:': '50 см'}",Electrolux EKC 954907 X
"{'Поверхня:': 'комбінована, емальована', 'Конфорки:': 'газ 3 шт, електро 1 шт', 'Духовка:': ""електрична, об'єм 50 л"", 'Функції:': 'газ-контроль', 'Ширина плити:': '50 см'}",Greta 1470-GE-00A WH
"{'Поверхня:': 'електрична, склокерамічна', 'Конфорки:': 'індукція 1 шт', 'Ширина плити:': '29 см'}",Besser 10212
"{'Поверхня:': 'газова, емальована', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""газова, об'єм 67 л"", 'Функції:': 'гриль', 'Ширина плити:': '50 см'}",Gorenje GI 5121 WH
"{'Поверхня:': 'електрична, склокерамічна', 'Конфорки:': 'індукція 4 шт', 'Духовка:': ""електрична, об'єм 72 л, 3.6 кВт"", 'Функції:': 'гриль, конвекція', 'Ширина плити:': '60 см'}",Electrolux EKI 6451 AOX
"{'Поверхня:': 'електрична, склокерамічна', 'Конфорки:': 'індукція 1 шт'}",Erstech EHP204
"{'Поверхня:': 'газова, емальована', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""електрична, об'єм 66 л"", 'Функції:': 'газ-контроль, гриль, конвекція', 'Ширина плити:': '50 см'}",Kaiser HGE 52508 KR
"{'Поверхня:': 'електрична, склокерамічна', 'Конфорки:': 'галогенні 1 шт', 'Ширина плити:': '41 см'}",Domotec MS 5842
"{'Поверхня:': 'газова, емальована', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""газова, об'єм 70 л"", 'Функції:': 'газ-контроль', 'Ширина плити:': '50 см'}",Gorenje G 5112 WF-B
"{'Поверхня:': 'газова, нержавіюча сталь', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""електрична, об'єм 54 л, 2 кВт"", 'Функції:': 'газ-контроль, гриль, конвекція', 'Ширина плити:': '50 см'}",Electrolux EKK 54552 OX
"{'Поверхня:': 'електрична, емальована', 'Конфорки:': 'електро 4 шт', 'Духовка:': ""електрична, об'єм 65 л"", 'Ширина плити:': '60 см'}",Artel Comarella 01-E
"{'Поверхня:': 'електрична, склокерамічна', 'Конфорки:': 'індукція 4 шт', 'Духовка:': ""електрична, об'єм 73 л"", 'Функції:': 'гриль, конвекція', 'Ширина плити:': '60 см'}",AEG CIB6441ABM
"{'Поверхня:': 'комбінована, емальована', 'Конфорки:': 'газ 2 шт, електро 2 шт', 'Духовка:': ""електрична, об'єм 50 л, 1.8 кВт"", 'Функції:': 'газ-контроль', 'Ширина плити:': '60 см'}",Greta 600-GE-27 A WH
"{'Поверхня:': 'газова, емальована', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""газова, об'єм 54 л"", 'Функції:': 'газ-контроль', 'Ширина плити:': '60 см'}",Greta 600-00-08 B AA
"{'Поверхня:': 'газова, емальована', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""газова, об'єм 51 л"", 'Функції:': 'гриль', 'Ширина плити:': '50 см'}",Beko CSG 42012 W
"{'Поверхня:': 'газова, емальована', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""електрична, об'єм 39 л, 2.1 кВт"", 'Функції:': 'газ-контроль, гриль, конвекція', 'Ширина плити:': '60 см'}",Candy TRIO 9501
"{'Поверхня:': 'електрична, склокерамічна', 'Конфорки:': 'індукція 4 шт', 'Духовка:': ""електрична, об'єм 71 л"", 'Функції:': 'гриль, конвекція', 'Ширина плити:': '60 см'}",Gorenje MEKI 610 I
"{'Поверхня:': 'електрична, емальована', 'Конфорки:': 'електро 2 шт', 'Ширина плити:': '37 см'}",HOLMER HHP-220W
"{'Поверхня:': 'газова, емальована', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""електрична, об'єм 53 л"", 'Функції:': 'газ-контроль, гриль, конвекція', 'Ширина плити:': '60 см'}",Kaiser HGE 60508
"{'Поверхня:': 'електрична, емальована'}",Grunhelm GHP-5813
"{'Поверхня:': 'газова, емальована', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""газова, об'єм 56 л"", 'Функції:': 'газ-контроль', 'Ширина плити:': '50 см'}",Hansa FCGW580977
"{'Поверхня:': 'електрична, склокерамічна', 'Конфорки:': 'hi-light 4 шт', 'Духовка:': ""електрична, об'єм 65 л"", 'Функції:': 'гриль, конвекція', 'Ширина плити:': '60 см'}",Hansa FCCW68204
"{'Поверхня:': 'комбінована, емальована', 'Конфорки:': 'газ 3 шт, електро 1 шт', 'Духовка:': ""електрична, об'єм 54 л"", 'Функції:': 'газ-контроль, гриль, конвекція', 'Ширина плити:': '60 см'}",Electrolux EKM 961308 W
"{'Поверхня:': 'газова, емальована', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""електрична, об'єм 55 л, 3.2 кВт"", 'Функції:': 'газ-контроль, гриль', 'Ширина плити:': '50 см'}",Gefest 5102-03
"{'Поверхня:': 'газова, емальована', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""електрична, об'єм 57 л"", 'Функції:': 'гриль, конвекція', 'Ширина плити:': '50 см'}",Indesit IS 5G5PHW
"{'Поверхня:': 'газова, емальована', 'Конфорки:': 'газ 2 шт', 'Ширина плити:': '60 см'}",Grunhelm GGP-6012
"{'Поверхня:': 'газова, емальована', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""електрична, об'єм 53 л"", 'Ширина плити:': '50 см'}",Artel Apetito 50 10-E
"{'Поверхня:': 'електрична, емальована', 'Конфорки:': 'електро 2 шт', 'Ширина плити:': '50 см'}",Gefest 720
"{'Поверхня:': 'газова, емальована', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""газова, об'єм 52 л"", 'Функції:': 'газ-контроль, гриль', 'Ширина плити:': '60 см'}",Gefest 6100-02 0386
"{'Поверхня:': 'газова, емальована', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""електрична, об'єм 50 л, 1.8 кВт"", 'Ширина плити:': '60 см'}",Greta 600-09 GE WH
"{'Поверхня:': 'електрична, склокерамічна', 'Конфорки:': 'hi-light 1 шт', 'Ширина плити:': '28 см'}",Liberton LIC 2000
"{'Поверхня:': 'газова, емальована', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""газова, об'єм 59 л"", 'Ширина плити:': '50 см'}",Indesit IS 5G0KMW
"{'Поверхня:': 'газова, нержавіюча сталь', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""електрична, об'єм 65 л"", 'Функції:': 'газ-контроль, гриль', 'Ширина плити:': '50 см'}",Hansa FCMX59221
"{'Поверхня:': 'електрична, склокерамічна', 'Конфорки:': 'індукція 1 шт', 'Ширина плити:': '28 см'}",Hauslich EKI 7011
"{'Поверхня:': 'комбінована, склокерамічна', 'Конфорки:': 'газ 2 шт, hi-light 2 шт', 'Духовка:': ""електрична, об'єм 66 л"", 'Функції:': 'газ-контроль, гриль, конвекція', 'Ширина плити:': '60 см'}",Amica 614McE3.45ZpTsDQ XL
"{'Поверхня:': 'газова, загартоване скло', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""газова, об'єм 52 л"", 'Функції:': 'газ-контроль, гриль', 'Ширина плити:': '50 см'}",Gefest 5500-03 0042
"{'Поверхня:': 'комбінована, емальована', 'Конфорки:': 'газ 3 шт, електро 1 шт', 'Духовка:': ""електрична, об'єм 65 л"", 'Ширина плити:': '60 см'}",Artel Milagro 00-E
"{'Поверхня:': 'електрична, склокерамічна', 'Конфорки:': 'індукція 2 шт', 'Ширина плити:': '60 см'}",Esperanza EKH008
"{'Поверхня:': 'газова, емальована', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""електрична, об'єм 65 л"", 'Функції:': 'гриль', 'Ширина плити:': '60 см'}",Artel Apetito 00-E
"{'Поверхня:': 'газова, емальована', 'Конфорки:': 'газ 2 шт', 'Духовка:': ""газова, об'єм 41 л"", 'Функції:': 'газ-контроль', 'Ширина плити:': '50 см'}",Greta 1201-10 AA W
"{'Поверхня:': 'газова, емальована', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""електрична, об'єм 60 л, 2.9 кВт"", 'Функції:': 'газ-контроль, гриль, конвекція', 'Ширина плити:': '50 см'}",Beko FSM 52332 DWDS
"{'Поверхня:': 'газова, емальована', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""електрична, об'єм 62 л"", 'Функції:': 'газ-контроль, гриль, конвекція', 'Ширина плити:': '50 см'}",Hansa FCMW580450
"{'Поверхня:': 'електрична, склокерамічна', 'Конфорки:': 'hi-light 4 шт', 'Духовка:': ""електрична, об'єм 65 л"", 'Функції:': 'гриль, конвекція', 'Ширина плити:': '60 см'}",Hansa FCCX69493
"{'Поверхня:': 'електрична, склокерамічна', 'Конфорки:': 'hi-light 4 шт', 'Духовка:': ""електрична, об'єм 62 л"", 'Функції:': 'гриль, конвекція', 'Ширина плити:': '50 см'}",Hansa FCCM58203
"{'Поверхня:': 'газова, нержавіюча сталь', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""електрична, об'єм 58 л"", 'Функції:': 'газ-контроль, гриль, конвекція', 'Ширина плити:': '60 см'}",Electrolux EKK 96498 CX
"{'Поверхня:': 'електрична, склокерамічна', 'Конфорки:': 'індукція 1 шт'}",Clatronic EKI 3569
"{'Поверхня:': 'електрична, склокерамічна', 'Конфорки:': 'hi-light 4 шт', 'Духовка:': ""електрична, об'єм 71 л"", 'Функції:': 'гриль, конвекція', 'Ширина плити:': '60 см'}",Gorenje EC 6341 WA
"{'Поверхня:': 'електрична, склокерамічна', 'Конфорки:': 'індукція 1 шт', 'Ширина плити:': '28 см'}",Caso Pro Menu 2100
"{'Поверхня:': 'газова, емальована', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""електрична, об'єм 41 л, 2.5 кВт"", 'Ширина плити:': '51 см'}",Cezaris PGE 1000-06 K
"{'Поверхня:': 'електрична, емальована', 'Конфорки:': 'hi-light 1 шт'}",Monte MT-2109
"{'Поверхня:': 'електрична, склокерамічна', 'Конфорки:': 'hi-light 1 шт, індукція 1 шт', 'Ширина плити:': '68 см'}",Liberton LIC 3200
"{'Поверхня:': 'електрична, склокерамічна', 'Конфорки:': 'індукція 1 шт'}",Astor IDC 2040
"{'Поверхня:': 'електрична, емальована', 'Конфорки:': 'електро 1 шт', 'Ширина плити:': '31 см'}",Grunhelm GHP-5812
"{'Поверхня:': 'газова, емальована', 'Конфорки:': 'газ 2 шт', 'Ширина плити:': '57.5 см'}",Grunhelm GGP-6002
"{'Поверхня:': 'газова, емальована', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""газова, об'єм 70 л"", 'Функції:': 'газ-контроль', 'Ширина плити:': '50 см'}",Gorenje G 5115 BRH
"{'Поверхня:': 'газова, емальована', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""газова, об'єм 44 л"", 'Функції:': 'гриль', 'Ширина плити:': '50 см'}",Gefest CG 50M04
"{'Поверхня:': 'комбінована, емальована', 'Конфорки:': 'газ 2 шт, електро 2 шт', 'Духовка:': ""електрична, об'єм 65 л"", 'Функції:': 'газ-контроль, гриль, конвекція', 'Ширина плити:': '50 см'}",Amica 58ME2.35HZPMS
"{'Поверхня:': 'газова, емальована', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""газова, об'єм 63 л"", 'Ширина плити:': '60 см'}",Gefest 1200 C7
"{'Поверхня:': 'електрична, склокерамічна', 'Конфорки:': 'hi-light 3 шт, галогенні 1 шт', 'Духовка:': ""електрична, об'єм 39 л, 2 кВт"", 'Функції:': 'гриль, конвекція', 'Ширина плити:': '60 см'}",Candy TRIO 9503
"{'Поверхня:': 'електрична, нержавіюча сталь', 'Конфорки:': 'hi-light 2 шт'}",DEX DCS-102
"{'Поверхня:': 'електрична, склокерамічна', 'Конфорки:': 'індукція 1 шт', 'Ширина плити:': '29.5 см'}",Sencor SCP 3701 BK
"{'Поверхня:': 'газова, емальована', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""електрична, об'єм 68 л"", 'Функції:': 'газ-контроль, гриль', 'Ширина плити:': '50 см'}",Gorenje K 5121 WH
"{'Поверхня:': 'електрична, склокерамічна', 'Конфорки:': 'індукція 2 шт', 'Ширина плити:': '60 см'}",Ardesto ICS-B217
"{'Поверхня:': 'електрична, склокерамічна', 'Конфорки:': 'індукція 1 шт', 'Ширина плити:': '28 см'}",Ardesto ICS-B116
"{'Поверхня:': 'електрична, склокерамічна', 'Конфорки:': 'індукція 1 шт'}",HILTON HIC 152
"{'Поверхня:': 'комбінована, емальована', 'Конфорки:': 'газ 3 шт, електро 1 шт', 'Духовка:': ""електрична, об'єм 62 л"", 'Функції:': 'газ-контроль, гриль, конвекція', 'Ширина плити:': '60 см'}",Hansa FCMW68090
"{'Поверхня:': 'електрична, склокерамічна', 'Конфорки:': 'hi-light 4 шт', 'Духовка:': ""електрична, об'єм 65 л"", 'Функції:': 'гриль, конвекція', 'Ширина плити:': '50 см'}",Hansa FCCX59493
"{'Поверхня:': 'електрична, склокерамічна', 'Конфорки:': 'індукція 1 шт'}",Aurora AU 4472
"{'Поверхня:': 'газова, емальована', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""газова, об'єм 52 л"", 'Функції:': 'гриль', 'Ширина плити:': '60 см'}",Gefest 6100-02 0185
"{'Поверхня:': 'газова, загартоване скло', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""електрична, об'єм 52 л"", 'Функції:': 'гриль', 'Ширина плити:': '50 см'}",Gefest 5502-02 0042
"{'Поверхня:': 'газова, емальована', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""електрична, об'єм 50 л, 1.8 кВт"", 'Ширина плити:': '50 см'}",Greta 1470-GE-09 WH
"{'Поверхня:': 'електрична, склокерамічна', 'Конфорки:': 'індукція 2 шт'}",Royalty Line RL-EIP4000.1
"{'Поверхня:': 'газова, емальована', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""газова, об'єм 46 л"", 'Ширина плити:': '50 см'}",Milano ML50 G2/01
"{'Поверхня:': 'комбінована, емальована', 'Конфорки:': 'газ 3 шт, електро 1 шт', 'Духовка:': ""електрична, об'єм 65 л"", 'Ширина плити:': '60 см'}",Artel Milagro 10-E
"{'Поверхня:': 'газова, емальована', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""електрична, об'єм 71 л"", 'Функції:': 'газ-контроль, гриль, конвекція', 'Ширина плити:': '60 см'}",Gorenje K 634 WH
"{'Поверхня:': 'електрична, склокерамічна', 'Конфорки:': 'індукція 1 шт', 'Ширина плити:': '28 см'}",HILTON HIC 151
"{'Поверхня:': 'газова, емальована', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""електрична, об'єм 55 л"", 'Функції:': 'газ-контроль, гриль, конвекція', 'Ширина плити:': '50 см'}",Beko FSE 52321 DBD
"{'Поверхня:': 'газова, емальована', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""електрична, об'єм 65 л"", 'Функції:': 'гриль, конвекція', 'Ширина плити:': '50 см'}",Hansa FCMW58040
"{'Поверхня:': 'газова, емальована', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""електрична, об'єм 65 л"", 'Функції:': 'газ-контроль, гриль, конвекція', 'Ширина плити:': '60 см'}",Hansa FCMS682090
"{'Поверхня:': 'електрична, склокерамічна', 'Конфорки:': 'hi-light 4 шт', 'Духовка:': ""електрична, об'єм 66 л, 2.2 кВт"", 'Функції:': 'гриль, конвекція', 'Ширина плити:': '50 см'}",Hansa FCCW58208
"{'Поверхня:': 'електрична, склокерамічна', 'Конфорки:': 'індукція 1 шт'}",Esperanza EKH006
"{'Поверхня:': 'електрична, склокерамічна', 'Конфорки:': 'hi-light 4 шт', 'Духовка:': ""електрична, об'єм 70 л"", 'Функції:': 'гриль, конвекція', 'Ширина плити:': '50 см'}",Gorenje EC 5341 SC
"{'Поверхня:': 'газова, емальована', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""газова, об'єм 43 л"", 'Функції:': 'газ-контроль', 'Ширина плити:': '51 см'}",Cezaris PG 2150-06
"{'Поверхня:': 'електрична, склокерамічна', 'Конфорки:': 'індукція 1 шт'}",Grunhelm GI-A2009
"{'Поверхня:': 'газова, емальована', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""електрична, об'єм 60 л"", 'Функції:': 'гриль', 'Ширина плити:': '50 см'}",Beko FSS 52020 DW
"{'Поверхня:': 'електрична, склокерамічна', 'Конфорки:': 'hi-light 4 шт', 'Духовка:': ""електрична, об'єм 62 л"", 'Функції:': 'гриль, конвекція', 'Ширина плити:': '50 см'}",Gorenje EC 5241 SG
"{'Поверхня:': 'газова, нержавіюча сталь', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""електрична, об'єм 65 л"", 'Функції:': 'гриль', 'Ширина плити:': '60 см'}",Fresh C63 K50E
"{'Поверхня:': 'електрична, емальована', 'Конфорки:': 'електро 4 шт', 'Духовка:': ""електрична, об'єм 55 л, 2 кВт"", 'Функції:': 'гриль', 'Ширина плити:': '50 см'}",Gefest 5140-01 0121
"{'Поверхня:': 'газова, емальована', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""електрична, об'єм 50 л"", 'Функції:': 'газ-контроль, гриль, конвекція', 'Ширина плити:': '50 см'}",Greta 1470-GE-30A BK
"{'Поверхня:': 'газова, емальована', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""електрична, об'єм 50 л, 1.8 кВт"", 'Функції:': 'газ-контроль', 'Ширина плити:': '50 см'}",Greta 1470-GE-09 A
"{'Поверхня:': 'електрична, склокерамічна', 'Конфорки:': 'індукція 1 шт', 'Ширина плити:': '30 см'}",ECG IV 18
"{'Поверхня:': 'електрична, склокерамічна', 'Конфорки:': 'індукція 1 шт'}",Astor IDC 2043
"{'Поверхня:': 'електрична, емальована', 'Конфорки:': 'електро 1 шт', 'Ширина плити:': '21.3 см'}",HILTON HEC 112
"{'Поверхня:': 'газова, емальована', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""електрична, об'єм 55 л"", 'Функції:': 'газ-контроль, гриль', 'Ширина плити:': '50 см'}",Beko FSE 52320 DWD
"{'Поверхня:': 'електрична, склокерамічна', 'Конфорки:': 'hi-light 4 шт', 'Духовка:': ""електрична, об'єм 67 л"", 'Ширина плити:': '50 см'}",Hansa FCCW530977
"{'Поверхня:': 'електрична, емальована', 'Конфорки:': 'електро 2 шт', 'Ширина плити:': '50 см'}",Mirta HP 9920
"{'Поверхня:': 'газова, емальована', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""електрична, об'єм 69 л"", 'Функції:': 'газ-контроль', 'Ширина плити:': '50 см'}",Hansa FCMW53010
"{'Поверхня:': 'електрична, склокерамічна', 'Конфорки:': 'hi-light 4 шт', 'Духовка:': ""електрична, об'єм 65 л"", 'Функції:': 'гриль, конвекція', 'Ширина плити:': '60 см'}",Gorenje EC 62 CLI
"{'Поверхня:': 'газова, емальована', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""газова, об'єм 52 л"", 'Функції:': 'гриль', 'Ширина плити:': '60 см'}",Gefest 6300-02 0046
"{'Поверхня:': 'газова, емальована', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""електрична, об'єм 55 л"", 'Функції:': 'гриль', 'Ширина плити:': '60 см'}",Gefest 6102-02
"{'Поверхня:': 'електрична, склокерамічна', 'Конфорки:': 'індукція 2 шт'}",ViLgrand VHP 2082
"{'Поверхня:': 'електрична, склокерамічна', 'Конфорки:': 'індукція 1 шт'}",ViLgrand VHP 2081
"{'Поверхня:': 'електрична, склокерамічна', 'Конфорки:': 'індукція 1 шт'}",Profi Cook PC-EKI 1062
"{'Поверхня:': 'електрична, склокерамічна', 'Конфорки:': 'індукція 1 шт', 'Ширина плити:': '34 см'}",Liberton LIC 1802
"{'Поверхня:': 'газова, емальована', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""електрична, об'єм 62 л"", 'Функції:': 'газ-контроль, гриль, конвекція', 'Ширина плити:': '50 см'}",Gorenje K 5141 WH
"{'Поверхня:': 'газова, нержавіюча сталь', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""електрична, об'єм 57 л"", 'Функції:': 'газ-контроль, гриль, конвекція', 'Ширина плити:': '50 см'}",Indesit IS 5G8CHX
"{'Поверхня:': 'електрична, нержавіюча сталь', 'Конфорки:': 'hi-light 2 шт', 'Ширина плити:': '54 см'}",Ergo HL 2207
"{'Поверхня:': 'електрична, склокерамічна', 'Конфорки:': 'індукція 1 шт', 'Ширина плити:': '28 см'}",HILTON HIC 153
"{'Поверхня:': 'електрична, нержавіюча сталь', 'Конфорки:': 'електро 1 шт'}",HILTON HEC 150
"{'Поверхня:': 'газова, емальована', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""електрична, об'єм 62 л"", 'Функції:': 'газ-контроль, гриль, конвекція', 'Ширина плити:': '50 см'}",Hansa FCMM582977
"{'Поверхня:': 'газова, емальована', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""газова, об'єм 56 л"", 'Функції:': 'газ-контроль', 'Ширина плити:': '50 см'}",Hansa FCGW510009D1
"{'Поверхня:': 'електрична, емальована', 'Конфорки:': 'електро 2 шт', 'Ширина плити:': '50 см'}",Termia EPC2-2.2/230M2
"{'Поверхня:': 'комбінована, емальована', 'Конфорки:': 'газ 2 шт, електро 2 шт', 'Духовка:': ""електрична, об'єм 65 л"", 'Ширина плити:': '60 см'}",Artel Dolce 01-EX
"{'Поверхня:': 'електрична, склокерамічна', 'Конфорки:': 'індукція 1 шт'}",Lafe CIY001
"{'Поверхня:': 'електрична, емальована', 'Конфорки:': 'електро 4 шт', 'Духовка:': ""електрична, об'єм 50 л"", 'Ширина плити:': '50 см'}",Greta 1470-E-41 W
"{'Поверхня:': 'електрична, склокерамічна', 'Конфорки:': 'індукція 2 шт', 'Ширина плити:': '60 см'}",Profi Cook PC-DKI 1067
"{'Поверхня:': 'газова, нержавіюча сталь', 'Конфорки:': 'газ 6 шт', 'Духовка:': ""електрична, об'єм 107 л"", 'Функції:': 'газ-контроль, гриль, конвекція', 'Ширина плити:': '90 см'}",Ravanson KWGE-K90-6
"{'Поверхня:': 'газова, емальована', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""газова, об'єм 57 л"", 'Функції:': 'гриль', 'Ширина плити:': '50 см'}",Indesit IS 5G8MHJ
"{'Поверхня:': 'електрична, емальована', 'Конфорки:': 'електро 2 шт', 'Ширина плити:': '49 см'}",Grunhelm GHP-5814
"{'Поверхня:': 'газова, емальована', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""газова, об'єм 53 л"", 'Функції:': 'газ-контроль, гриль', 'Ширина плити:': '50 см'}",Electrolux EKG 51153 OW
"{'Поверхня:': 'електрична, склокерамічна', 'Конфорки:': 'індукція 1 шт'}",Aurora AU 4476
